index,image_prompt,audio_prompt
000001,"raindrops","think exist example education speak land"
000002,"flowers","blue into especially their stop smile"
000003,"boat in water","cancer national remember back save carry"
000004,"silhouette of cats","continue get despite note notice try"
000005,"cars racing","scientist about arm before news fine"
000006,"raindrops","visit family they leader necessary where"
000007,"butterflies","disease baby happen budget mouth down"
000008,"silhouette of cats","according important nature piece interesting little"
000009,"tiger faces painting","only reach eye bring beyond wife"
000010,"silhouette of cats","fill deal those short special free"
000011,"silhouette of corgis","he under theory student disease big"
000012,"raindrops","thank trial nice field difference imagine"
000013,"deers","despite sense tax build include factor"
000014,"silhouette of cats","occur final resource stuff whole despite"
000015,"tiger faces painting","continue store central financial sure stuff"
000016,"hot air balloons","thing million risk range high allow"
000017,"hot air balloons","since admit good south American under"
000018,"cars racing","west yeah ability blue reality their"
000019,"silhouette of cats","meeting speech practice some rest phone"
000020,"boat in water","pretty himself already step front discuss"
000021,"deers","site move push ball address chance"
000022,"raindrops","help including material tough benefit environmental"
000023,"silhouette of corgis","think information theory take stand especially"
000024,"tiger faces painting","fly himself present until response become"
000025,"cars racing","it involve some may growth hundred"
